Region,District,Address,Start Date,Start Time,End Date,End Time,Type of Work,RES,Other
Ленинградская область,р-н Тосненский,"д Трубников Бор, ш Московское",09-04-2024 10:00,10:00,09-04-2024 18:00,18:00,Гатчинские ЭС,Тосненский РЭС,"Реконструкция ВЛ-0,4",55fed04b-b118-4d7b-a3b5-438e0c76d8f4
Ленинградская область,р-н Гатчинский,д Введенское,09-04-2024 10:00,10:00,09-04-2024 18:00,18:00,Гатчинские ЭС,Тосненский РЭС,Реконструкция ВЛ,7906d1fb-5089-4acb-86fe-2b25c4163c3b
Ленинградская область,"р-н Всеволожский, массив Пери","п Осельки  д Нижние Осельки  д Верхние Осельки  тер. СНТ Медик  тер. СНТ Пери-1, пр-кт Малый  тер. СНТ Садовое  тер. СНТ Тройка  тер. СНТ Электроника  тер. СНТ Метростроевец  Киссолово  снт Никольское  снт Скиф  снт Осельки",09-04-2024 09:00,09:00,09-04-2024 17:00,17:00,Северные электрические сети,Сертоловский РЭС,,9f77ad40-8b3e-46ad-9a5b-eec42c9df158ac2871fa-4cae-4610-a5dd-5bc4b7642307d3afa3a0-5c71-4ee6-afa9-b5e2902c26269b6312ce-7d8f-412e-8946-c1394842a7594877db41-f5ed-41bd-9a14-c25df83ea35ab3376776-6a62-4f94-a572-c9b9573ddf26443490e1-9c0c-4ca9-979f-822442da0d21340e82ac-b620-4586-9142-73162f142bd9711206f5-5964-4a1d-9fc7-20d024a373dcfa525e6d-7609-44e8-aa60-148c1ad240d7fa525e6d-7609-44e8-aa60-148c1ad240d7fa525e6d-7609-44e8-aa60-148c1ad240d7fa525e6d-7609-44e8-aa60-148c1ad240d7
Санкт-Петербург,Санкт-Петербург                        г Зеленогорск,"1-й Торфяной пер, д.3 А   1-й Торфяной пер, д.3  1-й Торфяной пер, д.20  Красный пер, д.4 А   Красный пер, д.4   Красный пер, д.2  Красный пер, д.5  Красный пер, д.6  Красных Командиров пр-кт, д.  д.13  Красных Командиров пр-кт, д.  уч.1   Красных Командиров пр-кт, д.  уч.2  Красных Командиров пр-кт, д.10    Красных Командиров пр-кт, д.10  а  Красных Командиров пр-кт, д.11    пр-кт Красных Командиров, дом 11, стр А  Красных Командиров пр-кт, д.12    Красных Командиров пр-кт, д.13    Красных Командиров пр-кт, д.13а  Красных Командиров пр-кт, д.13 б    Красных Командиров пр-кт, д.14    Красных Командиров пр-кт, д.14а    Красных Командиров пр-кт, д.15    Красных Командиров пр-кт, д.15а  Красных Командиров пр-кт, д.17  Красных Командиров пр-кт, д.17а    Красных Командиров пр-кт, д.18  Красных Командиров пр-кт, д.19    Красных Командиров пр-кт, д.18а    Красных Командиров пр-кт, д.19а    Красных Командиров пр-кт, д.19б   Красных Командиров пр-кт, д.21  Красных Командиров пр-кт, д.22  Красных Командиров пр-кт, д.23    Красных Командиров пр-кт, д.21 а  Красных Командиров пр-кт, д.23а    Красных Командиров пр-кт, д.22а  Красных Командиров пр-кт, д.27    Красных Командиров пр-кт, д.27а  Красных Командиров пр-кт, д.28  Красных Командиров пр-кт, д.28а  Красных Командиров пр-кт, д.30   Красных Командиров пр-кт, д.30 а  Красных Командиров пр-кт, д.31    Красных Командиров пр-кт, д.31 а   Красных Командиров пр-кт, д.33  Красных Командиров пр-кт, д.33а  Красных Командиров пр-кт, д.35 все лит.  Красных Командиров пр-кт, д37  Красных Командиров пр-кт, д.37а   Красных Командиров пр-кт, д.42    Красных Командиров пр-кт, д.6    Красных Командиров пр-кт, д.8    Красных Командиров пр-кт, д.8  а  Красных Командиров пр-кт, д9    Красных Командиров пр-кт, д.9а  Мира ул, д.6  Лит.З  Мира ул, д.6 А   Связная ул, д.1    Связная ул, д.1  а  Связная ул, д.3  Северная ул, д.1    Северная ул, д.10    Северная ул, д.1  а  Северная ул, д.10 а    Северная ул, д.11 а    Северная ул, д.11 б    Северная ул, д.12  Северная ул, д.3  Северная ул, д.4  Северная ул, д.6 а    Северная ул, д.8",09-04-2024 09:00,09:00,09-04-2024 20:00,20:00,Северные электрические сети,Курортный РЭС,Текущий ремонт,2fe679a3-39c4-40fe-9498-7eed325762f92fe679a3-39c4-40fe-9498-7eed325762f99116a8db-0b65-4112-ac8e-98856e9e1df76d815202-0eac-4689-be2b-213689063e516d815202-0eac-4689-be2b-213689063e51747711b6-d622-43d8-b3f2-d6c4ff443350900a7572-81b1-41d2-b368-e05396dbd8dd1144206a-52b3-473e-af40-1253bed8e3be78b33333-ad83-4dc6-b093-8a12859f6f2a2a8d3af0-5c3b-4ca3-8c33-6f92dadd436dc70d6659-437a-494f-95a7-ba8650da60d1a8d9ccb0-0502-4c52-b46a-b19a4c6880f0d0b2c308-3fee-4008-85aa-728ea30bed7fbe6dbee1-6a5c-4fbe-a7d1-b2ef395032cfbe6dbee1-6a5c-4fbe-a7d1-b2ef395032cf16637e7e-72c7-49d4-9e34-6054273bc0d478b33333-ad83-4dc6-b093-8a12859f6f2a78b33333-ad83-4dc6-b093-8a12859f6f2a78b33333-ad83-4dc6-b093-8a12859f6f2a3cda2b24-8dc9-40ec-980f-6837218d43f53cda2b24-8dc9-40ec-980f-6837218d43f5380d0fc8-b63a-425c-96b6-adb8a0174066380d0fc8-b63a-425c-96b6-adb8a0174066cf958f26-0521-4bf1-bd54-94d4b8a410a1b08703a6-3e0f-4156-903c-ddb80234773fb51cda5b-6b8f-498f-bd42-40a4e528fcea9c0c4739-50e0-4355-ada6-f0df6cd536d3b51cda5b-6b8f-498f-bd42-40a4e528fcea9c0c4739-50e0-4355-ada6-f0df6cd536d39c0c4739-50e0-4355-ada6-f0df6cd536d3d3c4dc82-2736-4e96-a128-e37c5654f27a8e53ae12-fe14-4894-aa11-358c8640d3ef07fdea8b-e937-4af5-89a4-064ea85b5422d3c4dc82-2736-4e96-a128-e37c5654f27a07fdea8b-e937-4af5-89a4-064ea85b54228e53ae12-fe14-4894-aa11-358c8640d3efbde30fca-4377-4f18-9d39-9ee7233f7c8bbde30fca-4377-4f18-9d39-9ee7233f7c8be89c9dd0-7d4f-4864-8549-adae449f0e57e89c9dd0-7d4f-4864-8549-adae449f0e571e2d133f-a2a1-4546-86aa-bd446ce043ec1e2d133f-a2a1-4546-86aa-bd446ce043ec9f4f11b7-e1e0-46a1-996b-75c5e7952c819f4f11b7-e1e0-46a1-996b-75c5e7952c81c94446a8-6ce1-460c-ae86-7cb04c47f714c94446a8-6ce1-460c-ae86-7cb04c47f7146f7bd851-b559-4477-9969-2d7feac1cd5092421f54-b57e-4fc1-ac26-81ffabbdb44092421f54-b57e-4fc1-ac26-81ffabbdb44021048d71-74c5-4f20-bf4f-3d153dbbc8ec69a23bba-43cd-452e-9c9c-ec50abc82c282cc96589-ad32-418f-8700-51a35dda66402cc96589-ad32-418f-8700-51a35dda66407eff4e10-2e0b-4c76-b5ac-8017bfe13b727eff4e10-2e0b-4c76-b5ac-8017bfe13b72e9cbe426-a99a-4ae8-b562-e78273c02930dd6f0dff-d13b-4369-9258-6303751183e33408fbc6-06c0-49d8-94fe-7ac0e911cb893408fbc6-06c0-49d8-94fe-7ac0e911cb89cde77048-848f-4e6a-813c-a4ad35cf10a80346e270-c649-42e3-87a7-b5b46a2998410ee794cd-7270-4a80-a85f-f4f63f2b26750346e270-c649-42e3-87a7-b5b46a29984166fdb3da-5a9d-4ec8-8a59-ac3bc8c8ab61b5b2e9fc-edd6-4764-8611-2f76f44d0dd7b5b2e9fc-edd6-4764-8611-2f76f44d0dd7626e0995-c9a8-4d8e-bd77-4276d537085c9848deba-9987-4757-b6bb-80d32b920b73853b2a79-a77d-4c27-9554-d2b76ca8c5fd6c5a7b88-b92d-4951-8c8c-f0feab561e9f7574cc3a-c6e3-482d-ab13-baa4f318a956
Ленинградская область,р-н Бокситогорский,д Бороватое,09-04-2024 09:00,09:00,09-04-2024 17:00,17:00,Тихвинские ЭС,Бокситогорский РЭС,,b78052ba-d850-41a8-9b60-420cc16cc1ea
Ленинградская область,р-н Всеволожский,"д Хиттолово, тер Коттеджный поселок Кавголовские Холмы",09-04-2024 09:00,09:00,10-04-2024 17:00,17:00,Северные электрические сети,Сертоловский РЭС,,4079a797-8767-4a39-a589-0e321b8e0a3c
Ленинградская область,р-н Лужский,д Чайково  д Голубково  д Госткино  д Красный Октябрь  м Череменец,09-04-2024 09:00,09:00,09-04-2024 17:00,17:00,Кингисеппские ЭС,Лужский РЭС,,5780f280-23b1-4d18-807f-38397225fa468f643935-7f1c-45f3-b527-9e04381a2f4f72e96eef-8244-4fed-a02a-ac7258c91ecd2a5adf94-47c2-4400-bec2-d31ff4eb84e7f5788aa1-ff9e-4217-a953-585c51fb5143
Ленинградская область,р-н Волховский,п. Алексино ул. Гагарино,09-04-2024 09:00,09:00,09-04-2024 18:00,18:00,Новоладожские ЭС,Волховский РЭС,,e9a0bb76-26b6-46ea-b109-febc9addda7d
Ленинградская область,р-н Волховский,п. Алексино ул. Молодёжная,09-04-2024 09:00,09:00,09-04-2024 18:00,18:00,Новоладожские ЭС,Волховский РЭС,,e9a0bb76-26b6-46ea-b109-febc9addda7d
Ленинградская область,р-н Тосненский,"п Шапки, ул Железнодорожная  п Шапки, пер Железнодорожный  п Шапки, проезд Железнодорожный",09-04-2024 09:00,09:00,09-04-2024 17:30,17:30,Гатчинские ЭС,Тосненский РЭС,Реконструкция оборудования ТП-4023,0a2e2524-ca25-4096-948e-0e354a48954feecf87b4-5e50-492c-8fd5-4d3c08fd54687028df60-de36-4975-a91e-11f4ab4301ae
Ленинградская область,р-н Бокситогорский,д Усадище,09-04-2024 09:00,09:00,09-04-2024 17:00,17:00,Тихвинские ЭС,Бокситогорский РЭС,,6ad56553-d11f-402c-b232-5f06dcf8cc95
Ленинградская область,р-н Лужский,"п Мшинская, ул Лесная  п Мшинская, ул Пролетарская  п Мшинская, ул Малая Железнодорожная  п Мшинская, ул Ленинградское шоссе",09-04-2024 09:00,09:00,09-04-2024 17:00,17:00,Кингисеппские ЭС,Лужский РЭС,,f8ec41b3-d31a-4804-9bae-76a5b0d2d297e680a8b4-60bc-414c-bbd2-e1893c6edff55d0923d5-829c-44a0-8640-d871568842ef66fbb5b7-bfbf-4799-9ace-dbc9b7f2bc59
Санкт-Петербург,Санкт-Петербург,"пр-кт Космонавтов, дом 54, стр А  пр-кт Витебский, дом 61, корп 5, стр А",09-04-2024 09:00,09:00,09-04-2024 09:00,09:00,Кабельная сеть,Южный РЭС,,1746c699-0c5c-4265-9634-6417c9503df659cc6628-7f72-42cf-858b-3be0e5f632f5
Ленинградская область,р-н Всеволожский,,09-04-2024 09:00,09:00,09-04-2024 17:53,17:53,Северные электрические сети,Всеволожский РЭС,,
Ленинградская область,р-н Тихвинский,"д. Ратилово, Ульянино",09-04-2024 09:00,09:00,09-04-2024 17:00,17:00,Тихвинские ЭС,Тихвинский РЭС,,
Санкт-Петербург,Выборгский район (СПб),"п Парголово, тер Михайловка, ул Хабаровская  п Парголово, тер Михайловка, ул Ленина  п Парголово, тер Михайловка, ул Кемеровская  п Парголово, тер Михайловка, ул Зональная  п Парголово, тер Михайловка, ул Байкальская  п Александровская",09-04-2024 08:27,08:27,09-04-2024 20:27,20:27,Северные электрические сети,Песочинский РЭС,,2385e616-b465-42c6-8b93-766919c4e10571933e7c-69a3-47d6-b94b-c6b83c5a0bdef00d0e62-74b7-49d7-a92e-80c4b50a38b048de0ec4-b857-4e54-b5e0-713b4928c5aa19e1f483-ac8b-47b7-a0d1-7fa06833cf46fd4781dc-f33b-4ccc-bd10-7f20b3385a7f
Санкт-Петербург,Санкт-Петербург                        г Пушкин,"ул Промышленная, уч-к (владение) 14  ул Промышленная, дом 12, стр 1",08-04-2024 22:00,22:00,09-04-2024 08:00,08:00,Южные электрические сети,Пушкинский РЭС,в период с 22:00 08.04.2024 до 08:00 09.04.2024 один раз на 30 минут,74f0d016-bae0-480c-bb6d-365f08798d40f55fa4a5-eb3f-41a6-9a1f-ac0e2f861c89
Санкт-Петербург,Санкт-Петербург                        г Пушкин,"ул Промышленная, уч-к (владение) 14  ул Промышленная, дом 12, стр 1",08-04-2024 22:00,22:00,09-04-2024 08:00,08:00,Южные электрические сети,Пушкинский РЭС,в период с 22:00 09.04.2024 до 08:00 10.04.2024 один раз на 30 минут,74f0d016-bae0-480c-bb6d-365f08798d40f55fa4a5-eb3f-41a6-9a1f-ac0e2f861c89
Ленинградская область,р-н Всеволожский,п. ж/д ст. Ириновка,08-04-2024 11:00,11:00,08-04-2024 17:00,17:00,Северные электрические сети,Всеволожский РЭС,,79eadcd8-bdef-4024-a9c2-9e08418a8810
Санкт-Петербург,Невский район,"ул Купчинская, дом 8, корп 1, литера А  ул Купчинская, дом 10, корп 2, литера А  ул Купчинская, дом 10, корп 3, литера А",08-04-2024 11:00,11:00,08-04-2024 17:00,17:00,Кабельная сеть,Невский РЭС,кратковременно (до 60 мин.),0d2727fc-afb0-4543-a3f0-dea061edda8e8f7779ac-e676-40da-8c3e-128a81e5f55c15ed8ef7-7173-4a9a-9e8d-0436962df266
Ленинградская область,р-н Тихвинский,"д. Сашково, Тумово, Сукса, Вахрушево, Серёдка",08-04-2024 11:00,11:00,08-04-2024 16:00,16:00,Тихвинские ЭС,Тихвинский РЭС,"Кратковременно, на время оперативных переключений.",
Санкт-Петербург,Красногвардейский район,"пр-кт Наставников, дом 18, стр А  пр-кт Наставников, дом 20, корп 1, стр А  ул Ленская, дом 6, корп 3, стр А  пр-кт Косыгина, дом 25, корп 2, стр А",08-04-2024 10:30,10:30,08-04-2024 18:00,18:00,Кабельная сеть,Правобережный РЭС,по одному вводу,2a8bfa06-2dd4-4239-999c-9abeec2bb68ea4899f5e-32be-46d6-a2c9-e0386744473afba7b39d-df9e-49ec-a833-d92b8fdb9f8f5e12b407-c579-47d4-8823-bb2203f11bab
Санкт-Петербург,Невский район,"ул Дыбенко, дом 24, корп 1, стр Ю  ул Дыбенко, дом 24, корп 2, стр Т  ул Дыбенко, дом 22, корп 3, стр Д  ул Дыбенко, дом 22, корп 4, стр Л  ул Дыбенко, дом 22, корп 5, стр К  ул Дыбенко, дом 24, корп 2, стр Е  ул Дыбенко, дом 24, корп 5, стр А  ул Дыбенко, дом 22, корп 4, стр Л  ул Антонова-Овсеенко, дом 19, корп 4, стр И",08-04-2024 10:30,10:30,08-04-2024 17:00,17:00,Кабельная сеть,Правобережный РЭС,,7c7a58b6-b8fc-45ec-8d22-960f89d9ae7fea7db34e-4abb-48e4-bbea-7473a5d231ec02f09421-f8f3-4b3e-b05a-794257b38a4d198c69d3-a461-42b8-85a7-0efe46dc8cc87fffadf3-d6af-4955-85a0-968557053a7eea7db34e-4abb-48e4-bbea-7473a5d231ec833ab04a-b024-4cac-8fcd-37ebacb6105b198c69d3-a461-42b8-85a7-0efe46dc8cc8e054108f-7135-499f-bd19-eef424619b75
Санкт-Петербург,Санкт-Петербург                        Приморский район,ул. Савушкина д. 141,08-04-2024 10:00,10:00,08-04-2024 18:00,18:00,Кабельная сеть,Западный РЭС,,8d7c9dff-a7c4-4686-84b2-24f5d8a81621
Санкт-Петербург,Красногвардейский район,"Новомалиновская дорога, д.6А  Бокситогорская ул., д.7, 15",08-04-2024 10:00,10:00,08-04-2024 17:00,17:00,Кабельная сеть,Восточный РЭС,,
Санкт-Петербург,Санкт-Петербург                        Приморский район,"ш. Фермское д. 32 (ГРЩ 1, 2, 3), ш. Фермское д. 30, вышка связи, ш. Фермское д. 30 к. 1",08-04-2024 10:00,10:00,08-04-2024 20:00,20:00,Кабельная сеть,Западный РЭС,,59fe9f42-6649-4cf5-a4df-cfb646b2ac62
Ленинградская область,р-н Тосненский,д Пельгора,08-04-2024 10:00,10:00,08-04-2024 18:00,18:00,Гатчинские ЭС,Тосненский РЭС,Капитальный ремонт ТП,22d24192-c46a-48e7-bfbb-556456bf2b4f
Ленинградская область,р-н Гатчинский,"д Красницы, ул Заречная  д Красницы, ул Лесная",08-04-2024 10:00,10:00,08-04-2024 18:00,18:00,Гатчинские ЭС,Тосненский РЭС,Капитальный ремонт,8d040246-a2d8-421c-8483-14d32bccfb6f941713d5-36fb-4d87-8f77-1277befeec25
Ленинградская область,р-н Гатчинский,"д Красницы, ул Заречная  д Красницы, ул Лесная",08-04-2024 10:00,10:00,08-04-2024 17:10,17:10,,,Кап.ремонт .,8d040246-a2d8-421c-8483-14d32bccfb6f941713d5-36fb-4d87-8f77-1277befeec25
Ленинградская область,р-н Всеволожский,п. ж/д ст. Кирпичный завод,08-04-2024 10:00,10:00,08-04-2024 17:00,17:00,Северные электрические сети,Всеволожский РЭС,,108b7606-37bf-427d-bfc0-163d4e46c412
Ленинградская область,"р-н Кингисеппский, г Кингисепп",Заречье  тер Возрождение   тер Учитель СНТ Победа массив  тер Победа-2 СНТ Победа массив,08-04-2024 10:00,10:00,08-04-2024 17:00,17:00,Кингисеппские ЭС,Кингисеппский РЭС,,252bc211-aa27-49f3-b7c8-c8eb528d8bf87d04cd99-3438-4975-8999-1504a60b363203be950f-3dbd-4e9d-859d-c59f5017287688946be3-b237-41ab-bfa8-151460cdf4a6
Санкт-Петербург,Санкт-Петербург,"ул Некрасова, дом 3-5, стр А",08-04-2024 10:00,10:00,10-04-2024 20:00,20:00,Кабельная сеть,Центральный РЭС,,bff64e34-f721-4169-b108-3024819c0e14
Ленинградская область,р-н Тосненский,"д Андрианово  д Турово, дом 135  д Авати, дом 1",08-04-2024 10:00,10:00,08-04-2024 18:00,18:00,Гатчинские ЭС,Тосненский РЭС,Капитальный ремонт ТП-4172,8b7e6d03-2772-494d-8048-5af51dd803f7cc9c8863-ca65-49ac-95d7-47baf336e8fe98d3c3f0-3319-4a95-82bc-7f0b408298e2
Ленинградская область,р-н Бокситогорский,д Усадище,08-04-2024 09:00,09:00,08-04-2024 17:00,17:00,Тихвинские ЭС,Бокситогорский РЭС,,6ad56553-d11f-402c-b232-5f06dcf8cc95
Санкт-Петербург,Санкт-Петербург                        п. Смолячково,"Приморское ш, д.704    Приморское ш, д.704  а",08-04-2024 09:00,09:00,08-04-2024 20:00,20:00,Северные электрические сети,Курортный РЭС,Текущий ремонт,ad5d4914-0c0c-476f-af39-47dd505cf640b9ebdb30-9721-4d73-b72f-a7abbdb6a70f
Ленинградская область,р-н Бокситогорский,д Бороватое,08-04-2024 09:00,09:00,08-04-2024 17:00,17:00,Тихвинские ЭС,Бокситогорский РЭС,,b78052ba-d850-41a8-9b60-420cc16cc1ea
Ленинградская область,р-н Лужский,м ГЭС-1  д Задубье,08-04-2024 09:00,09:00,08-04-2024 17:00,17:00,Кингисеппские ЭС,Лужский РЭС,,369dd66b-6953-4e18-8ccd-0678071155521b6526e4-5848-41aa-aff8-4be9be4215fd
Ленинградская область,р-н Волосовский,д Лелино  д Новые Красницы  д Старые Красницы  д Сырковицы,08-04-2024 09:00,09:00,08-04-2024 16:00,16:00,Кингисеппские ЭС,Кингисеппский РЭС,,378f1018-982d-4650-a222-865fe5cbd491550cb4aa-2038-44cf-b951-4d375c64a0846d454b9f-aac1-4471-ac58-5cbc4119eb48e3d5778e-8ae2-4f9a-8264-d260f3c16ec6
Ленинградская область,р-н Лужский,д Усадище,08-04-2024 09:00,09:00,09-04-2024 17:00,17:00,Кингисеппские ЭС,Лужский РЭС,,36afb816-47a2-4930-8eb9-9f99fe6f8bcd
Санкт-Петербург,Санкт-Петербург,"пр-кт Космонавтов, дом 54, стр А  ул Орджоникидзе, дом 50, стр А",08-04-2024 09:00,09:00,08-04-2024 18:00,18:00,Кабельная сеть,Южный РЭС,,1746c699-0c5c-4265-9634-6417c9503df615cc6583-f099-4c54-a7bb-ecec0f8dacbb
Ленинградская область,р-н Тихвинский,"д. Ратилово, Ульянино",08-04-2024 09:00,09:00,08-04-2024 17:00,17:00,Тихвинские ЭС,Тихвинский РЭС,,
Ленинградская область,р-н Ломоносовский,д Горбунки,05-04-2024 20:00,20:00,06-04-2024 08:00,08:00,Южные электрические сети,Красносельский РЭС,"ф.395-01 ТП-2017,ТП-2042, ТП-2032, ТП-465: 2 раза по 30 минут",d2122ebe-c718-4215-bc2f-088e24d2c498
Санкт-Петербург,Санкт-Петербург,"ул Черняховского, дом 69, стр А  ул Черняховского, дом 73, стр А  ул Черняховского, дом 73, корп 2, стр Б",05-04-2024 13:00,13:00,05-04-2024 15:00,15:00,Кабельная сеть,Центральный РЭС,Аварийные работы. В период времени работ отключение электроэнергии на 20 минут,199f79ae-5fe8-46d9-a137-709857348f6cd63660eb-797d-4509-a9f7-25cfc48c7c3c05742a97-cc2e-4431-99c9-696be595ad7e
Санкт-Петербург,Санкт-Петербург                        Приморский район,ул. Савушкина д. 112,05-04-2024 12:00,12:00,05-04-2024 16:00,16:00,Кабельная сеть,Западный РЭС,,ad016605-0897-479e-a653-f823ca42fce6
Ленинградская область,р-н Ломоносовский,д Рассколово,05-04-2024 11:00,11:00,05-04-2024 16:00,16:00,Южные электрические сети,Красносельский РЭС,ТП-382,2a2df547-e9cb-4612-a636-9ee7b84dac50
Санкт-Петербург,Санкт-Петербург                        г Колпино,п. Петро-Славянка. ул. Смоленская  п. Петро-Славянка. ул. Тверская   п. Петро-Славянка. ул. Витебская  п. Петро-Славянка. ул. Московская  п. Петро-Славянка. ул. Труда  п. Петро-Славянка. ул. Первого Мая  п. Петро-Славянка. ул. Коммунаров,05-04-2024 11:00,11:00,05-04-2024 14:00,14:00,Южные электрические сети,Колпинский РЭС,,3a915825-f709-4686-aa45-4b1dbc1900cde4318102-03ab-4984-86d4-6ba054c206fc428ba604-1111-4de2-85b3-83d284a2640f2104d8ba-ca5a-4850-8791-53578ed92a3bca6b834d-1a8a-4fd3-a38c-fd3e207f4b7f121aa6bc-56f7-4870-bf60-c13b99651141a896a453-2957-4a09-9bdb-37a4db3826c7
Санкт-Петербург,Санкт-Петербург                        Красносельский район,"пр.Ветеранов,д.124",05-04-2024 10:30,10:30,05-04-2024 17:00,17:00,Кабельная сеть,Юго-Западный РЭС,,f9614aa2-b281-4529-8d64-2b498b2ce19c
Ленинградская область,р-н Ломоносовский,д Горбунки,05-04-2024 10:00,10:00,05-04-2024 18:00,18:00,Южные электрические сети,Красносельский РЭС,ф.395-01 ТП-560: 2 раза по 15 минут,d2122ebe-c718-4215-bc2f-088e24d2c498
Ленинградская область,р-н Ломоносовский,д Волковицы,05-04-2024 10:00,10:00,05-04-2024 17:00,17:00,Южные электрические сети,Красносельский РЭС,ТП-6118,d3e9cabb-2ffa-428c-9172-1ab98a51495f
Ленинградская область,р-н Приозерский,п Хвойное,05-04-2024 10:00,10:00,05-04-2024 17:00,17:00,Выборгские ЭС,Приозерский РЭС,Техническое обслуживание ТП,b2e23603-93c6-4ed5-ac0d-0a928fd38490
Ленинградская область,р-н Ломоносовский,д Пески,05-04-2024 10:00,10:00,05-04-2024 20:00,20:00,Южные электрические сети,Красносельский РЭС,ВЛ-10кВ Ф.191-05 Л ППр626-ППр532: на время производства работ,a928489e-6b6e-4cee-a1b1-8166238c6cd2
Ленинградская область,р-н Ломоносовский,д Лесопитомник  д Рюмки,05-04-2024 10:00,10:00,05-04-2024 20:00,20:00,Южные электрические сети,Красносельский РЭС,ВЛ-10кВ Ф.191-05 Л ППр626-ППр532: 2 раза по 30 минут,
Санкт-Петербург,Санкт-Петербург,"пл Биржевая, дом 4, стр А",05-04-2024 10:00,10:00,05-04-2024 18:00,18:00,Кабельная сеть,Островной РЭС,Перевод нагрузки на Т-2,e5364d49-8df8-4e18-81c4-21082bf8c634
